Designator,Mid X,Mid Y,Rotation,Layer
SW204,155.575,-105.83195,0.0,top
SW205,174.625,-105.83195,0.0,top
SW206,193.675,-105.83195,0.0,top
SW207,212.725,-105.83195,0.0,top
SW208,231.775,-105.83195,0.0,top
SW209,250.825,-105.83195,0.0,top
SW210,269.875,-105.83195,0.0,top
SW211,288.925,-105.83195,0.0,top
SW212,307.975,-105.83195,0.0,top
SW213,327.025,-105.83195,0.0,top
SW214,350.8375,-105.83195,0.0,top
SW301-1,91.28125,-124.88195,0.0,top
SW301-2,96.04375,-124.88195,0.0,top
SW302,122.2375,-124.88195,0.0,top
SW303,141.2875,-124.88195,0.0,top
SW304,160.3375,-124.88195,0.0,top
SW305,179.3875,-124.88195,0.0,top
SW306,198.4375,-124.88195,0.0,top
SW307,217.4875,-124.88195,0.0,top
SW308,236.5375,-124.88195,0.0,top
SW309,255.5875,-124.88195,0.0,top
SW310,274.6375,-124.88195,0.0,top
SW311,293.6875,-124.88195,0.0,top
SW312,312.7375,-124.88195,0.0,top
SW313,343.69375,-127.86995,0.0,top
SW401,100.80625,-146.91995,0.0,top
SW402,131.7625,-143.93195,0.0,top
SW403,150.8125,-143.93195,0.0,top
SW404,169.8625,-143.93195,0.0,top
SW405,188.9125,-143.93195,0.0,top
SW406,207.9625,-143.93195,0.0,top
SW407,227.0125,-143.93195,0.0,top
SW408,246.0625,-143.93195,0.0,top
SW409,265.1125,-143.93195,0.0,top
SW410,284.1625,-143.93195,0.0,top
SW411,303.2125,-143.93195,0.0,top
SW412,329.40625,-143.93195,0.0,top
SW413,355.6,-143.93195,0.0,top
SW501-1,93.6625,-162.98195,0.0,top
SW501-2,112.7125,-162.98195,0.0,top
SW502,136.525,-162.98195,0.0,top
SW503,222.25,-168.99255,0.0,top
SW504,307.975,-162.98195,0.0,top
SW505-1,350.8375,-162.98195,0.0,top
SW505-2,331.7875,-162.98195,0.0,top
U1,109.5375,-120.65,315.0,bottom
Y1,117.475,-113.50625,0.0,bottom
